ts_code,roe
600182.SH,1.9421
600183.SH,3.695
600184.SH,0.0408
600186.SH,5.8248
600187.SH,-0.0319
600185.SH,-8.1398
600188.SH,3.2211
600189.SH,0.4209
600191.SH,0.6582
600192.SH,-3.4426
600193.SH,-5.2425
600197.SH,3.6452
600195.SH,1.1561
600196.SH,1.6069
600198.SH,-25.9057
600199.SH,-1.809
600200.SH,-3.9328
600201.SH,1.4406
600202.SH,-1.1814
600203.SH,1.3289
600206.SH,1.7052
600207.SH,-4.0032
600208.SH,1.0159
600210.SH,2.7108
600211.SH,6.7162
600212.SH,-1.3861
600217.SH,-0.0594
600215.SH,-0.6674
600218.SH,0.9249
600216.SH,3.7676
600219.SH,3.3346
600221.SH,11.401
600222.SH,0.0971
600223.SH,1.2278
600227.SH,-1.825
600226.SH,2.0309
600228.SH,-3.1036
600229.SH,1.9693
600230.SH,0.2035
600231.SH,-4.5844
600232.SH,-0.4319
600233.SH,2.6691
600234.SH,0.358
600235.SH,0.3394
600237.SH,1.4759
600236.SH,2.8335
600239.SH,-2.8186
600238.SH,-6.1896
600241.SH,0.332
600243.SH,-0.1256
600246.SH,-0.6832
600249.SH,-0.6508
600248.SH,1.3212
600250.SH,0.5805
600252.SH,0.3041
600255.SH,1.3696
600251.SH,5.0283
600256.SH,2.5381
600257.SH,-0.3231
600258.SH,1.2125
600259.SH,1.3967
600261.SH,1.6832
600265.SH,-18.6061
600266.SH,0.1941
600262.SH,3.8179
600267.SH,2.3016
600268.SH,0.8877
600269.SH,2.2671
600271.SH,-2.2747
600272.SH,1.281
600273.SH,5.6932
600276.SH,4.0517
600278.SH,0.7382
600279.SH,-0.1295
600280.SH,0.2763
600281.SH,89.3682
600282.SH,2.1978
600284.SH,1.529
600285.SH,6.7925
600283.SH,1.7432
600287.SH,0.3907
600289.SH,-3.0899
600288.SH,-0.45
600292.SH,0.776
600293.SH,0.5937
600295.SH,2.1653
600298.SH,3.3586
600299.SH,2.9325
600300.SH,2.0129
600302.SH,-0.7162
600301.SH,3.7665
600303.SH,-5.5741
600305.SH,1.6889
600307.SH,-6.0449
600308.SH,0.6528
600309.SH,3.1949
600313.SH,2.6665
600310.SH,-7.2078
600312.SH,3.364
600316.SH,-0.16
600315.SH,3.2067
600318.SH,1.6281
600319.SH,-8.7902
600320.SH,1.5948
600322.SH,
600323.SH,3.0855
600325.SH,0.953
600326.SH,-3.2799
600327.SH,1.1828
600329.SH,4.6602
600328.SH,0.4363
600332.SH,4.9476
600331.SH,-9.6254
600330.SH,0.5992
600333.SH,-0.0662
600335.SH,1.1671
600336.SH,1.6804
600337.SH,3.7653
600338.SH,3.3627
600345.SH,-0.3909
600339.SH,0.7308
600340.SH,-88.1824
600343.SH,-1.8043
600346.SH,3.187
600348.SH,1.7722
600350.SH,1.854
600351.SH,3.6767
600352.SH,1.1485
600353.SH,1.6452
600354.SH,9.3434
600355.SH,-7.6669
600356.SH,1.0834
600358.SH,-10.6025
600359.SH,4.3865
600360.SH,1.6261
600362.SH,2.4723
600361.SH,1.8997
600363.SH,2.759
600365.SH,-0.3686
600366.SH,0.6293
600367.SH,1.2196
600368.SH,4.5684
600370.SH,-2.1337
600369.SH,0.9485
600372.SH,0.2695
