ts_code,revenue_growth
600853.SH,-5.0619
600857.SH,-44.6932
600854.SH,-3.9453
600855.SH,-33.8881
600858.SH,-4.3229
600860.SH,0.8116
600859.SH,-9.7642
600861.SH,2.7169
600864.SH,-5.2554
600865.SH,-14.1625
600863.SH,-9.326
600862.SH,6.3815
600866.SH,-3.8154
600868.SH,58.5933
600869.SH,1.3015
600867.SH,10.1654
600871.SH,-3.6854
600872.SH,-25.8052
600873.SH,-3.3608
600875.SH,10.064
600876.SH,-37.9761
600874.SH,2.0504
600877.SH,-2.2176
600879.SH,-55.4143
600882.SH,6.2585
600883.SH,64.2453
600880.SH,84.0429
600881.SH,2.5509
600885.SH,15.4313
600884.SH,28.0357
600886.SH,-6.9891
600887.SH,1.4645
600888.SH,15.3829
600893.SH,-1.7129
600892.SH,37.6867
600889.SH,-31.2427
600894.SH,-9.9599
600895.SH,24.4065
600897.SH,7.1035
600906.SH,12.912
600905.SH,-3.4652
600900.SH,8.6769
600903.SH,12.9953
600901.SH,20.4669
600908.SH,3.5319
600909.SH,72.0237
600916.SH,-39.7121
600925.SH,-3.9894
600918.SH,0.2278
600927.SH,-47.5098
600917.SH,1.7893
600919.SH,6.2143
600926.SH,2.2227
600928.SH,8.1405
600929.SH,-24.5731
600930.SH,16.1935
600933.SH,1.4137
600935.SH,-0.573
600938.SH,-4.1393
600939.SH,-6.2581
600936.SH,-5.7759
600941.SH,-0.5441
600955.SH,12.4295
600956.SH,-12.5964
600959.SH,1.4718
600958.SH,49.0558
600960.SH,-13.7986
600961.SH,8.5034
600963.SH,-16.436
600962.SH,58.0299
600965.SH,13.8218
600966.SH,3.7703
600968.SH,9.4194
600967.SH,19.5973
600970.SH,-1.365
600969.SH,0.0339
600973.SH,19.9754
600971.SH,-42.5226
600975.SH,30.3167
600977.SH,-3.13
600976.SH,-8.044
600979.SH,4.8029
600980.SH,16.3711
600981.SH,8.7033
600982.SH,-12.2283
600983.SH,36.0655
600984.SH,-14.5586
600985.SH,-38.9985
600986.SH,0.2763
600989.SH,30.9216
600988.SH,29.8494
600987.SH,-5.6867
600992.SH,-11.6262
600990.SH,-13.6666
600996.SH,-22.6582
600993.SH,1.4796
600995.SH,17.5172
600999.SH,9.6373
600997.SH,-15.9551
600998.SH,3.815
601000.SH,-16.6352
601001.SH,-33.7275
601002.SH,35.8985
